budget,share,pinned_from,pinned,cache,mld_median,offline_median,p95,slowdown,reads,hits
1,0.5,6,0,1048576,75.1,453.1,1220427.0,6.032,43.92,0.4674
2,0.5,6,0,2097152,71.8,328.4,1199287.0,4.576,41.99,0.5659
4,0.5,6,0,4194304,70.9,301.7,785346.0,4.254,35.84,0.7352
8,0.5,6,0,8388608,71.4,314.9,156743.0,4.411,20.02,0.8963
16,0.5,6,0,16777216,72.4,278.5,16307.0,3.846,10.04,0.9450
32,0.5,6,0,33554432,72.2,257.9,9055.0,3.570,8.30,0.9501
64,0.5,5,19167436,47941428,70.3,210.3,6524.0,2.992,5.94,0.9376
80,0.5,5,19167436,64718644,77.7,215.4,6843.9,2.773,4.91,0.9469
96,0.5,5,19167436,81495860,75.3,181.8,6450.4,2.416,3.79,0.9590
112,0.5,5,19167436,98273076,76.3,96.9,6390.2,1.271,0.50,0.9947
128,0.5,4,61075728,73142000,69.5,91.7,5650.0,1.320,0.48,0.9909
192,0.5,4,61075728,140250864,74.1,109.9,5968.6,1.483,0.48,0.9909
256,0.5,3,125018544,143416912,74.5,94.4,6087.2,1.267,0.41,0.9814
